id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg, pub, year>
1	1h nmr	-0,3323	0,4091	6	603	1195	84	2016,6905
2	1h nuclear magnetic resonance	-0,5116	0,3882	6	143	169	10	2015,8
3	300c	-0,1957	0,5006	6	378	678	56	2014,6429
4	30min	-0,4568	0,1735	4	119	143	11	2013,6364
5	60min	-0,294	0,0523	4	200	259	20	2013,7
6	70c	0,1389	-0,3616	2	155	179	15	2013,5333
7	a cm	1,6225	-0,4526	5	273	680	33	2011,9697
8	a cm2	1,6844	-0,447	5	230	544	24	2017,25
9	aaem	-0,2287	0,6356	6	87	111	11	2017,0909
10	aas	-0,1402	0,6725	1	133	174	11	2017,3636
11	abe	0,0017	-0,357	2	264	401	31	2017,3548
12	abt	1,6606	-0,4373	5	156	298	14	2012,5714
13	acetalization	0,3927	0,5922	1	191	270	24	2018,2083
14	acetate	0,293	-0,2044	2	1050	2290	187	2015,8503
15	acetogenic bacterium	0,4214	-0,7101	2	104	139	10	2015,7
16	acetol	0,0855	0,6177	1	155	212	18	2015,8333
17	acetone butanol ethanol	0,1218	-0,2858	2	167	241	19	2017,7895
18	acid base property	0,3588	0,8103	1	176	236	15	2017,4
19	acid density	0,3104	0,607	1	321	536	35	2018,3429
20	acid esterification	-0,1695	0,2987	4	315	561	42	2015,8333
21	acid hydrolysis	0,1345	-0,2744	2	434	789	69	2016,1159
22	acid oil	-0,4184	-0,0767	4	188	297	24	2015,9583
23	acid pretreatment	0,1057	-0,2711	2	453	860	64	2016,25
24	acid property	0,3255	0,7687	1	189	252	16	2016,9375
25	acid site	0,2889	0,7558	1	734	1737	116	2016,4569
26	acid strength	0,1834	0,6529	1	240	322	24	2016,7917
27	acid value	-0,7455	0,0984	4	891	3104	212	2015,4858
28	acid washing	-0,0781	0,707	6	174	275	20	2018,6
29	acidic compound	-0,1377	0,5846	6	126	162	12	2016,8333
30	acidic condition	0,6917	-0,0557	2	235	290	26	2015,7692
31	acidic ionic liquid	0,2826	0,2855	1	230	344	32	2016,2812
32	acidic property	0,3471	0,7564	1	275	371	25	2015,96
33	acidic site	0,3914	0,7344	1	449	786	52	2016,3077
34	acidic support	0,3742	0,8917	1	111	143	10	2017,2
35	acidic zeolite	0,0483	0,915	1	137	166	12	2015,4167
36	acidification	-0,4751	-0,4712	3	252	380	30	2016,3667
37	acrylic acid	0,6251	-0,0511	5	194	228	17	2014,6471
38	activated sludge	0,0886	-0,5423	2	124	165	16	2016,1875
39	active catalyst	0,4081	0,5022	1	435	668	46	2015,8913
40	active center	0,9471	0,1471	5	152	177	15	2016,0667
41	active component	0,2348	0,6935	1	211	315	26	2015,4231
42	active enzyme	0,7948	-0,6081	2	212	334	21	2014,5714
43	active metal	0,2952	0,8841	1	191	251	18	2017,3333
44	active phase	0,2252	0,7439	1	343	566	36	2017,25
45	active site	0,6103	0,334	1	1182	3037	193	2016,7565
46	active surface area	1,3154	-0,1135	5	111	145	11	2015,2727
47	acyl acceptor	-0,2588	-0,1924	4	201	379	29	2014,7586
48	adaptation	-0,0061	-0,5869	2	301	390	29	2016,6552
49	adh	1,4168	-0,584	5	277	667	36	2014
50	adsorbed pyridine	0,373	0,8361	1	133	172	10	2016,9
51	advanced biofuel production	-0,4287	-0,3825	3	142	157	10	2016,2
52	advancement	-0,0906	-0,521	3	361	500	41	2016,9512
53	affinity	0,8225	-0,4021	2	379	593	39	2016,9487
54	afm	1,0989	-0,2977	5	241	378	20	2015
55	aftertreatment	-1,1426	-0,5252	7	174	317	17	2012,9412
56	ag agcl	1,5388	-0,4256	5	382	1090	54	2014,6481
57	agglomeration	0,147	0,5684	1	290	417	26	2016,4615
58	aggregation	0,5948	0,0623	1	329	430	28	2017,0357
59	agitation speed	-0,5336	-0,0309	4	239	370	24	2016,7917
60	agricultural biomass	-0,4209	-0,412	3	143	161	14	2016,1429
61	agricultural crop	-0,5834	-0,5177	3	145	180	11	2013,3636
62	agriculture	-0,4084	-0,4464	3	417	651	53	2015,7358
63	agro industrial residue	-0,2074	-0,4584	2	145	172	12	2014,75
64	air pollution	-0,9236	-0,4033	7	244	351	23	2016,1304
65	air quality	-0,733	-0,5858	3	190	233	14	2012,2857
66	al mcm	0,0769	0,8962	1	233	378	24	2016,625
67	al sba	0,1734	0,9239	1	244	409	25	2016
68	al2o3	-0,0117	0,6822	1	1137	3302	238	2016,3361
69	al2o3 catalyst	-0,0273	0,7096	1	722	1759	135	2016,0741
70	alcl3	0,2778	0,547	1	119	139	12	2015,1667
71	alcohol dehydrogenase	1,1715	-0,6137	5	373	966	57	2013,807
72	alcohol oil molar ratio	-0,6311	0,0375	4	139	216	19	2014,6316
73	aldehyde dehydrogenase	1,149	-0,6228	5	139	224	13	2013,7692
74	aldol condensation	0,365	0,6747	1	381	665	51	2016,0392
75	aldol condensation reaction	0,3157	0,6869	1	175	222	16	2017,5625
76	algae biomass	-0,4545	-0,2667	3	186	244	17	2016
77	algae oil	-0,7125	-0,3524	3	263	339	22	2016,7727
78	algal biodiesel	-0,5717	-0,4912	4	169	212	14	2016,1429
79	algal biofuel	-0,2882	-0,514	3	256	353	29	2015,7241
80	algal biofuel production	-0,1824	-0,5253	3	103	125	10	2015,4
81	algal growth	-0,2323	-0,3468	2	108	129	12	2016,3333
82	algal lipid	-0,3611	-0,3095	2	116	158	12	2015,8333
83	algal species	-0,2232	-0,2703	2	227	292	21	2016,4286
84	aliphatic	-0,2478	0,686	6	244	401	28	2016,6429
85	aliphatic compound	-0,2864	0,7508	6	151	205	15	2016,2667
86	aliphatic hydrocarbon	-0,2731	0,7111	6	448	911	61	2016,4754
87	alkali catalyst	-0,6528	0,0455	4	322	561	44	2014,1591
88	alkali catalyzed transesterification	-1,1463	-0,1425	4	100	138	11	2013,4545
89	alkali lignin	0,2037	0,7003	6	202	308	22	2017,6818
90	alkaline catalyst	-0,5433	-0,0948	4	359	713	58	2014,0862
91	alkaline medium	1,1538	0,1234	5	137	186	14	2014,3571
92	alkaline pretreatment	0,2618	-0,3854	2	153	235	18	2017,6667
93	alkaline transesterification	-0,736	-0,1303	4	278	495	34	2015,1176
94	alkane	-0,0471	0,6204	1	1167	3372	268	2016,3881
95	alkyl	0,214	0,48	1	158	200	17	2015,8824
96	alkyl ester	-0,464	-0,1283	4	429	708	56	2014,1786
97	alkyl levulinate	0,4463	0,5904	1	131	195	18	2017,3889
98	alkyl phenol	0,0297	0,8077	1	160	214	13	2016,8462
99	alkylation	0,2714	0,6281	1	416	751	56	2016,6786
100	alkylation reaction	0,3881	0,8793	1	136	190	14	2017,3571
101	alkylphenol	0,0542	0,7238	1	157	231	14	2016
102	alloy	0,6321	0,4842	1	361	570	48	2015,4167
103	alternate fuel	-1,0503	-0,2987	7	237	377	23	2017,3478
104	alternative energy resource	-0,3314	-0,0889	3	116	127	12	2017,75
105	alternative energy source	-0,7412	-0,2421	7	478	785	55	2016,2727
106	alternative feedstock	-0,4866	-0,2794	4	340	499	33	2016,5152
107	alternative fuel	-0,9259	-0,2932	7	1149	3726	256	2015,9688
108	alumina catalyst	0,0135	0,625	1	299	397	35	2014,3143
109	aluminum	-0,0006	0,7446	1	242	310	21	2015,0952
110	amberlyst	0,2724	0,4506	1	534	1134	101	2015,7921
111	ambient condition	0,4549	-0,2679	5	252	341	26	2017,1154
112	american society	-0,9622	-0,1609	4	359	778	47	2016,7447
113	amide	-0,2029	0,41	6	280	493	39	2016,8718
114	ammonia temperature	0,1538	0,9355	1	166	252	12	2017
115	amplitude	-0,4598	-0,1368	4	168	283	21	2016,5714
116	amylase	0,5924	-0,7066	2	126	186	16	2015,375
117	anaerobic co digestion	0,0914	-0,4813	2	73	110	14	2018,7143
118	anaerobic condition	0,5569	-0,7308	2	194	280	20	2016,35
119	anaerobic digester	0,0798	-0,6505	2	101	135	11	2016,4545
120	anaerobic digestion	-0,0378	-0,5262	2	724	1739	159	2017,5786
121	anaerobic digestion process	-0,0384	-0,5383	2	120	141	11	2016,1818
122	anaerobic fermentation	0,1816	-0,5502	2	161	197	15	2016
123	analysis result	-0,162	0,4664	6	390	602	45	2017,0667
124	analyte	0,9874	-0,2847	5	207	319	20	2014,45
125	analytical pyrolysis	-0,2612	0,5215	6	142	194	14	2015,8571
126	anhydrosugar	-0,0736	0,6712	6	250	411	29	2016,5517
127	animal fat	-0,7103	-0,1853	4	691	1560	124	2014,4516
128	animal feed	-0,0911	-0,5537	2	181	221	20	2015,85
129	anisole	0,0518	0,7051	1	293	488	31	2016,4516
